  ,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
,Statistical analysis,"Is source code provided, or is a tool such as Stata or Excel discussed for statistical analysis?",No information provided,No information provided,No information provided,N/A,N/A,No information provided,N/A,No information provided,No information provided,No information provided,N/A,No information provided,No information provided,No information provided,No information provided,N/A,N/A,No information provided,N/A,No information provided,N/A,N/A,N/A,No information provided,No information provided,N/A,No information provided,N/A,N/A,No information provided,No information provided,N/A,N/A,No information provided,No information provided,N/A,N/A,N/A,N/A,No information provided,N/A,N/A,No information provided,N/A,No information provided,N/A,N/A,N/A,N/A,No information provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No information provided,N/A,N/A,N/A
,Baseline implementation,"Are the baselines reimplemented by the authors, or is an official implementation used?",No information provided,ReChorus ,No information provided,RecBole,Both official and third party implementation,No information provided,RecBole,No information provided,RecBole,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,RecBole,No information provided,No information provided,RecBole,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,RecBole,No information provided,No information provided,Legommenders,N/A,Original implementation shared the author,No information provided,No information provided,No information provided,No information provided,RecBole,No information provided,No information provided,Reimplemented by authors,No information provided,No information provided,No information provided,Reimplmented by authors,N/A,No information provided,Reimplemented by authors,No information provided,N/A,No information provided,No information provided,N/A,EasyRL4Rec,No information provided,RecBole,No information provided,No information provided
,Supplementary info.,Are scripts provided to run experiments for all datasets?,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Partial,Partial,No,Partial,No,Partial,Partial,Yes,No,Partial,No,Partial,Yes,No,Yes,Partial,No,Partial,No,Yes,Yes,No,Partial,No,No,No,Yes,No,N/A,Yes,Yes,Yes,Yes,No,Partial,No,No
,Docker file,Is a Docker file/image provided?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,Steps to run experiments on any platform,"Are instructions provided to run the experiments on any platform (Windows, Linux, etc.)?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Model Access & Versioning,LLM version,Was the version of the used LLM/pretrained model reported?,OpenAI-GPT-3.5 (snaps not given),OpenAI-GPT-3 (snaps not given),Mistral-7b (incomplete),Llama-2-7b-chat (complete),OpenAI-GPT-3.5-turbo (snaps not given),Llama-2-7b (complete)-Huggingface,OpenAI-GPT-3.5-turbo-16k (snaps not given),Llama-7b (incomplete)-Huggingface,OpenAI-ChatGPT-3.5 (snaps not given),PaLM-2 XXS (incomplete),Llama-2-7b (complete),No information has been provided,"OpenAI-ChatGPT-4 (snaps not given), Llama-7b (incomplete)",ChatGLM-3 (incomplete)-Huggingface,T5-small (incomplete),Qwen-2.5-1.5b-instruct (complete),Llama-3-8b (complete),Llama-3-8b (complete)-Huggingface,Llama-2-7b (complete),"OpenAI-GPT-3.5-turbo-0613 (snaps given), OpenAI-GPT-3.5-turbo-16k (snaps not given),  OpenAI-GPT-Text-embedding-ada-002 (snaps given)","OpenAI-GPT-3.5-turbo-16k-0613 (snaps given), OpenAI-Text-davinci-003 (snaps given)","Llama-30b-instruct (complete)-Huggingface, Llama-2-7b-chat (complete)-Huggingface",OpenAI-GPT-2 (snaps not given),Llama-2 (incomplete)-Huggingface,"BART-(incomplete), Llama-7b (incomplete)",OPT-6.7b (complete),P5 (incomplete),Qwen-2-0.5b-instruct (complete),Llama-3.1-8b-instruct (complete),DeBERTa-V3 (incomplete),Llama-3-8b-insturct (complete),Llama-2-7b-chat (complete),Llama-2-7b-longlora-32k (complete),Llama-2-7b-chat (complete),"DeepSeek-R1, OpenAI-GPT-4o (snaps not given), OpenAI-Text-embedding-ada-002 (snaps given)","Mixtral-8x22b-Instruct (complete), OpenAI-GPT-4o (snaps not given)","OpenAI-GPT-3.5-turbo (snaps not given), Llama-7b (incomplete), Llama-13b (incomplete)","Falcon-7b (incomplete), Llama-2-7b-chat (complete)",GRITLM-7b (incomplete),"Llama-2–7b–chat (complete), OpenAI-GPT-3.5-turbo (snaps not given), OpenAI-GPT-2 (snaps not given)",Llama-2-7b-chat (complete),LLaVA-v1.6 (complete)-Huggingface,Llama-7b (incomplete),Llama-3-7b (incomplete),Vicuna-13b (incomplete),"OpenAI-GPT-3.5-turbo (snaps not given), OpenAI-GPT-4-turbo (snaps not given)","OpenAI-GPT-4o (snaps not given), Llama-3.1-8b (complete)","OpenAI-GPT-3.5-turbo (snaps not given), Llama-7b (incomplete)","Llama-2-7b, OpenAI-GPT-3.5-turbo (snaps not given)","OpenAI-GPT-3.5-turbo (snaps not given), Claude-2 (incomplete)","Llama-3.1-8b-instruct-q8_0 (complete)-Ollama, Mistral_NeMo-12b-instruct-2407-q4_K_M (complete)-Ollama, Gemma-3-12b-Ollama, Phi-4-14b (complete)-Ollama","Mistral-7b (incomplete), OpenAI-GPT-3.5-turbo (snaps not given), Gemma-2b-instruct (incomplete)",Llama-7b (incomplete),Llama-3 (incomplete)-Huggingface,Llama-2-13b (complete),OpenAI-GPT (both snaps and model version not given),"Llama-2-7b (complete)-Huggingface, Llama-3-8b (complete)-Huggingface","Vicuna-v1.3-7b-chat (complete)-Huggingface, OpenAI-GPT-3.5-turbo-0301 (snaps given)","OpenAI-GPT-4 (snaps not given), OpenAI-GPT-3.5 (snaps not given), Qwen-1.5-14b (complete),  Qwen-1.5-7b (complete), Llama-2-14b (complete)",OpenAI-GPT-3.5-turbo-16k (snaps not given),Deepseek-R1 (complete),"OpenAI-GPT-3.5-turbo (snaps not given), Llama-2-7b-chat (complete)-Huggingface, Mistral-7b-Instructv0.2 (complete)-Huggingface",Llama-7b (incomplete),Mistral-7b (incomplete)
,Use of public LLM,Was a publicly available LLM used?,No,No,Yes,Yes,No,Yes,Used both open and close models for prompt engineering,Yes,No,Yes,Yes,No information has been provided,Both open annd close source models,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Both closed and open source models are used,Both closed and open source models are used,Both closed and open source models are used,Yes,Yes,Both closed and open source models are used,Yes,Yes,Yes,Yes,Yes,No,Both closed and open source models are used,Both closed and open source models are used,Both closed and open source models are used,No,Yes,Both closed and open source models are used,Yes,Yes,Yes,No,Yes,Both public and close source models,Both public and close source models,Yes,Yes,Both open and close source,Yes,Yes
,From where model downloaded,,N/A,N/A,No,No,N/A,Huggingface,No,Huggingface,N/A,No,No,No information,No,Hugging face,No,No,No,Huggingface,No,N/A,N/A,Huggingface,N/A,Huggingface,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Huggingface,Huggingface,No,No,N/A,No,No,No,N/A,Ollama,No,No,Huggingface,No,N/A,Huggingface,Huggingface,No,N/A,No,Huggingface,No,No
Open source models,Fine-tuning materials,"Were all materials shared (base model, scripts and data)?",N/A,N/A,No,No,N/A,No,N/A,Yes,N/A,No,Partial,N/A,No,Partial,Partial,No,N/A,N/A,Partial,N/A,N/A,Partial,Partial,Partial,Partial,N/A,No,Yes,Partial,No,Partial,No,Partial,Partial,N/A,N/A,Partial,N/A,Partial,Yes,N/A,Partial,Yes,No,Partial,N/A,Partial,Yes,N/A,N/A,N/A,N/A,No,Partial,N/A,N/A,Partial,Yes,N/A,N/A,N/A,Partial,No,No
,Fine-tuning strategy,"Was the approach described (full fine-tuning, parameter-efficient, LoRA, adapters, prefix-tuning)?",N/A,N/A,LoRA,Fine tuning,N/A,LoRA,N/A,LoRA,N/A,Fine tuning,Instruction-based fine-tuning ,N/A,LoRA,LoRA,Fine tuning,LoRA,N/A,N/A,LoRA,N/A,N/A,LoRA,Instruction-based fine-tuning ,LoRA,LoRA,N/A,Fine tuning,Fine tuning,LoRA,LoRA,LoRA,LoRA,LoRA,LoRA,N/A,N/A,LoRA,N/A,LoRA,LoRA,N/A,LoRA,LoRA,LoRA,LoRA,N/A,LoRA,LoRA,N/A,N/A,N/A,N/A,LoRA,LoRA,N/A,N/A,LoRA,LoRA,N/A,N/A,N/A,Fine tuning,LoRA,LoRA
,Instruction tuning,"If reinforcement learning from human feedback was used, were reward models details shared?",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
